similarity,combination
2,['Ownable.sol', 'SafeMath.sol', 'LinkReceiver.sol']
2,['SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol']
5,['SafeMath.sol', 'LinkReceiver.sol', 'StandardToken.sol']
5,['SafeMath.sol', 'LinkReceiver.sol', 'ERC677Receiver.sol']
8,['SafeMath.sol', 'LinkReceiver.sol', 'LinkToken.sol']
2,['SafeMath.sol', 'LinkReceiver.sol', 'BasicToken.sol']
7,['SafeMath.sol', 'LinkReceiver.sol', 'TokenSale.sol']
2,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol']
7,['SafeMath.sol', 'ERC20Basic.sol', 'StandardToken.sol']
4,['SafeMath.sol', 'ERC20Basic.sol', 'ERC677Receiver.sol']
11,['SafeMath.sol', 'ERC20Basic.sol', 'LinkToken.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'BasicToken.sol']
11,['SafeMath.sol', 'ERC20Basic.sol', 'TokenSale.sol']
4,['SafeMath.sol', 'ERC20Basic.sol', 'ERC20.sol']
1,['SafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
1,['SafeMath.sol', 'BasicTokenMock.sol', 'StandardToken.sol']
1,['SafeMath.sol', 'BasicTokenMock.sol', 'ERC677Receiver.sol']
8,['SafeMath.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
2,['SafeMath.sol', 'BasicTokenMock.sol', 'BasicToken.sol']
6,['SafeMath.sol', 'BasicTokenMock.sol', 'TokenSale.sol']
2,['SafeMath.sol', 'BasicTokenMock.sol', 'ERC20.sol']
1,['SafeMath.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
1,['SafeMath.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol']
8,['SafeMath.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
2,['SafeMath.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
6,['SafeMath.sol', 'StandardTokenMock.sol', 'TokenSale.sol']
2,['SafeMath.sol', 'StandardTokenMock.sol', 'ERC20.sol']
5,['SafeMath.sol', 'StandardToken.sol', 'ERC677Receiver.sol']
11,['SafeMath.sol', 'StandardToken.sol', 'LinkToken.sol']
1,['SafeMath.sol', 'StandardToken.sol', 'BasicToken.sol']
9,['SafeMath.sol', 'StandardToken.sol', 'TokenSale.sol']
1,['SafeMath.sol', 'StandardToken.sol', 'ERC20.sol']
4,['SafeMath.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
2,['SafeMath.sol', 'ERC677Receiver.sol', 'BasicToken.sol']
8,['SafeMath.sol', 'ERC677Receiver.sol', 'TokenSale.sol']
4,['SafeMath.sol', 'ERC677Receiver.sol', 'ERC20.sol']
3,['SafeMath.sol', 'LinkToken.sol', 'BasicToken.sol']
6,['SafeMath.sol', 'LinkToken.sol', 'TokenSale.sol']
3,['SafeMath.sol', 'LinkToken.sol', 'ERC20.sol']
11,['SafeMath.sol', 'BasicToken.sol', 'TokenSale.sol']
3,['SafeMath.sol', 'BasicToken.sol', 'ERC20.sol']
10,['SafeMath.sol', 'TokenSale.sol', 'ERC20.sol']
9,['LinkReceiver.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol']
9,['LinkReceiver.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol']
10,['LinkReceiver.sol', 'ERC20Basic.sol', 'StandardToken.sol']
9,['LinkReceiver.sol', 'ERC20Basic.sol', 'ERC677Receiver.sol']
10,['LinkReceiver.sol', 'ERC20Basic.sol', 'LinkToken.sol']
11,['LinkReceiver.sol', 'ERC20Basic.sol', 'BasicToken.sol']
6,['LinkReceiver.sol', 'ERC20Basic.sol', 'TokenSale.sol']
8,['LinkReceiver.sol', 'ERC20Basic.sol', 'ERC20.sol']
4,['LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
8,['LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardToken.sol']
5,['LinkReceiver.sol', 'BasicTokenMock.sol', 'ERC677Receiver.sol']
5,['LinkReceiver.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
6,['LinkReceiver.sol', 'BasicTokenMock.sol', 'BasicToken.sol']
4,['LinkReceiver.sol', 'BasicTokenMock.sol', 'TokenSale.sol']
6,['LinkReceiver.sol', 'BasicTokenMock.sol', 'ERC20.sol']
9,['LinkReceiver.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
5,['LinkReceiver.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol']
5,['LinkReceiver.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
6,['LinkReceiver.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
4,['LinkReceiver.sol', 'StandardTokenMock.sol', 'TokenSale.sol']
6,['LinkReceiver.sol', 'StandardTokenMock.sol', 'ERC20.sol']
10,['LinkReceiver.sol', 'StandardToken.sol', 'ERC677Receiver.sol']
10,['LinkReceiver.sol', 'StandardToken.sol', 'LinkToken.sol']
14,['LinkReceiver.sol', 'StandardToken.sol', 'BasicToken.sol']
5,['LinkReceiver.sol', 'StandardToken.sol', 'TokenSale.sol']
8,['LinkReceiver.sol', 'StandardToken.sol', 'ERC20.sol']
8,['LinkReceiver.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
7,['LinkReceiver.sol', 'ERC677Receiver.sol', 'BasicToken.sol']
6,['LinkReceiver.sol', 'ERC677Receiver.sol', 'TokenSale.sol']
9,['LinkReceiver.sol', 'ERC677Receiver.sol', 'ERC20.sol']
9,['LinkReceiver.sol', 'LinkToken.sol', 'BasicToken.sol']
4,['LinkReceiver.sol', 'LinkToken.sol', 'TokenSale.sol']
8,['LinkReceiver.sol', 'LinkToken.sol', 'ERC20.sol']
6,['LinkReceiver.sol', 'BasicToken.sol', 'TokenSale.sol']
11,['LinkReceiver.sol', 'BasicToken.sol', 'ERC20.sol']
6,['LinkReceiver.sol', 'TokenSale.sol', 'ERC20.sol']
8,['ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
13,['ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardToken.sol']
9,['ERC20Basic.sol', 'BasicTokenMock.sol', 'ERC677Receiver.sol']
8,['ERC20Basic.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
7,['ERC20Basic.sol', 'BasicTokenMock.sol', 'BasicToken.sol']
9,['ERC20Basic.sol', 'BasicTokenMock.sol', 'TokenSale.sol']
5,['ERC20Basic.sol', 'BasicTokenMock.sol', 'ERC20.sol']
11,['ERC20Basic.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
10,['ERC20Basic.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol']
8,['ERC20Basic.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
7,['ERC20Basic.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
8,['ERC20Basic.sol', 'StandardTokenMock.sol', 'TokenSale.sol']
5,['ERC20Basic.sol', 'StandardTokenMock.sol', 'ERC20.sol']
10,['ERC20Basic.sol', 'StandardToken.sol', 'ERC677Receiver.sol']
12,['ERC20Basic.sol', 'StandardToken.sol', 'LinkToken.sol']
4,['ERC20Basic.sol', 'StandardToken.sol', 'BasicToken.sol']
12,['ERC20Basic.sol', 'StandardToken.sol', 'TokenSale.sol']
5,['ERC20Basic.sol', 'StandardToken.sol', 'ERC20.sol']
9,['ERC20Basic.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
6,['ERC20Basic.sol', 'ERC677Receiver.sol', 'BasicToken.sol']
9,['ERC20Basic.sol', 'ERC677Receiver.sol', 'TokenSale.sol']
5,['ERC20Basic.sol', 'ERC677Receiver.sol', 'ERC20.sol']
11,['ERC20Basic.sol', 'LinkToken.sol', 'BasicToken.sol']
6,['ERC20Basic.sol', 'LinkToken.sol', 'TokenSale.sol']
8,['ERC20Basic.sol', 'LinkToken.sol', 'ERC20.sol']
12,['ERC20Basic.sol', 'BasicToken.sol', 'TokenSale.sol']
3,['ERC20Basic.sol', 'BasicToken.sol', 'ERC20.sol']
9,['ERC20Basic.sol', 'TokenSale.sol', 'ERC20.sol']
3,['BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
6,['BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol']
4,['BasicTokenMock.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
6,['BasicTokenMock.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
2,['BasicTokenMock.sol', 'StandardTokenMock.sol', 'TokenSale.sol']
6,['BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC20.sol']
8,['BasicTokenMock.sol', 'StandardToken.sol', 'ERC677Receiver.sol']
8,['BasicTokenMock.sol', 'StandardToken.sol', 'LinkToken.sol']
11,['BasicTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol']
5,['BasicTokenMock.sol', 'StandardToken.sol', 'TokenSale.sol']
12,['BasicTokenMock.sol', 'StandardToken.sol', 'ERC20.sol']
7,['BasicTokenMock.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
8,['BasicTokenMock.sol', 'ERC677Receiver.sol', 'BasicToken.sol']
5,['BasicTokenMock.sol', 'ERC677Receiver.sol', 'TokenSale.sol']
6,['BasicTokenMock.sol', 'ERC677Receiver.sol', 'ERC20.sol']
7,['BasicTokenMock.sol', 'LinkToken.sol', 'BasicToken.sol']
3,['BasicTokenMock.sol', 'LinkToken.sol', 'TokenSale.sol']
6,['BasicTokenMock.sol', 'LinkToken.sol', 'ERC20.sol']
7,['BasicTokenMock.sol', 'BasicToken.sol', 'TokenSale.sol']
6,['BasicTokenMock.sol', 'BasicToken.sol', 'ERC20.sol']
7,['BasicTokenMock.sol', 'TokenSale.sol', 'ERC20.sol']
9,['StandardTokenMock.sol', 'StandardToken.sol', 'ERC677Receiver.sol']
8,['StandardTokenMock.sol', 'StandardToken.sol', 'LinkToken.sol']
11,['StandardTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol']
5,['StandardTokenMock.sol', 'StandardToken.sol', 'TokenSale.sol']
10,['StandardTokenMock.sol', 'StandardToken.sol', 'ERC20.sol']
5,['StandardTokenMock.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
7,['StandardTokenMock.sol', 'ERC677Receiver.sol', 'BasicToken.sol']
5,['StandardTokenMock.sol', 'ERC677Receiver.sol', 'TokenSale.sol']
7,['StandardTokenMock.sol', 'ERC677Receiver.sol', 'ERC20.sol']
7,['StandardTokenMock.sol', 'LinkToken.sol', 'BasicToken.sol']
3,['StandardTokenMock.sol', 'LinkToken.sol', 'TokenSale.sol']
6,['StandardTokenMock.sol', 'LinkToken.sol', 'ERC20.sol']
7,['StandardTokenMock.sol', 'BasicToken.sol', 'TokenSale.sol']
6,['StandardTokenMock.sol', 'BasicToken.sol', 'ERC20.sol']
6,['StandardTokenMock.sol', 'TokenSale.sol', 'ERC20.sol']
9,['StandardToken.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
11,['StandardToken.sol', 'ERC677Receiver.sol', 'BasicToken.sol']
6,['StandardToken.sol', 'ERC677Receiver.sol', 'TokenSale.sol']
8,['StandardToken.sol', 'ERC677Receiver.sol', 'ERC20.sol']
13,['StandardToken.sol', 'LinkToken.sol', 'BasicToken.sol']
7,['StandardToken.sol', 'LinkToken.sol', 'TokenSale.sol']
11,['StandardToken.sol', 'LinkToken.sol', 'ERC20.sol']
8,['StandardToken.sol', 'BasicToken.sol', 'TokenSale.sol']
4,['StandardToken.sol', 'BasicToken.sol', 'ERC20.sol']
7,['StandardToken.sol', 'TokenSale.sol', 'ERC20.sol']
6,['ERC677Receiver.sol', 'LinkToken.sol', 'BasicToken.sol']
4,['ERC677Receiver.sol', 'LinkToken.sol', 'TokenSale.sol']
8,['ERC677Receiver.sol', 'LinkToken.sol', 'ERC20.sol']
8,['ERC677Receiver.sol', 'BasicToken.sol', 'TokenSale.sol']
5,['ERC677Receiver.sol', 'BasicToken.sol', 'ERC20.sol']
8,['ERC677Receiver.sol', 'TokenSale.sol', 'ERC20.sol']
6,['LinkToken.sol', 'BasicToken.sol', 'TokenSale.sol']
9,['LinkToken.sol', 'BasicToken.sol', 'ERC20.sol']
5,['LinkToken.sol', 'TokenSale.sol', 'ERC20.sol']
10,['BasicToken.sol', 'TokenSale.sol', 'ERC20.sol']
